manufacturer,model,drive,cylinders,transmission,fuel
chevrolet,equinox ltz,fwd,8,automatic,other
chevrolet,corvette,rwd,8,automatic,gas
ford,mustang,fwd,6,automatic,gas
toyota,tacoma double cab sr5,4wd,6,automatic,other
volkswagen,golf gti s hatchback,fwd,4,automatic,other
ford,f-450 super duty 6.8l v10,4wd,10,automatic,other
jeep,renegade,4wd,4,automatic,gas
jeep,grand cherokee trailhawk automatic,4wd,4,automatic,gas
chevrolet,equinox,4wd,8,automatic,gas
honda,civic,rwd,4,manual,gas
gmc,acadia,fwd,8,automatic,gas
infiniti,saab,fwd,5,automatic,gas
chevrolet,hhr,4wd,4,automatic,gas
dodge,charger,rwd,8,automatic,gas
chevrolet,silverado 2500hd,4wd,8,automatic,diesel
honda,pilot,4wd,6,automatic,gas
lincoln,navigator 4x4,4wd,8,automatic,gas
ford,super duty f-250 srw,4wd,8,automatic,gas
porsche,911,fwd,4,automatic,gas
chevrolet,trailblazer,fwd,6,automatic,gas
audi,s7 prestige sedan 4d,4wd,8,automatic,other
cadillac,seville,fwd,8,automatic,gas
ford,f-350,rwd,4,automatic,diesel
cadillac,dts,fwd,8,automatic,gas
mercedes-benz,s-class,fwd,8,automatic,gas
toyota,corolla le,fwd,4,automatic,gas
hyundai,sonata,4wd,6,automatic,gas
gmc,sierra 1500 sle,rwd,8,automatic,gas
chevrolet,cruze,fwd,4,automatic,gas
ford,f-150 xlt supercrew ecoboost 3.5l premium,4wd,6,automatic,gas
jaguar,SILVERADO 3500 Z71 4WD,4wd,8,automatic,diesel
subaru,impreza,rwd,4,automatic,gas
chevrolet,express cargo van,rwd,8,automatic,other
ford,f150 regular cab xl pickup,rwd,6,automatic,gas
toyota,rav4,fwd,4,automatic,gas
subaru,Scion iM Hatchback 4D,rwd,8,automatic,other
jeep,wrangler unlimited black b,4wd,6,manual,gas
ford,fairlane 500,rwd,8,automatic,gas
infiniti,qx70 3.7 sport utility,fwd,4,automatic,other
rover,lr4,4wd,8,automatic,gas
mercedes-benz,e-class,fwd,6,automatic,gas
ford,f59 18,fwd,8,,gas
ford,f-250,4wd,4,automatic,other
kia,cadenza,fwd,6,automatic,gas
chevrolet,trailblazer ls 4x4,4wd,6,automatic,gas
infiniti,qx60 luxe sport utility,fwd,6,automatic,gas
mazda,cx-9,fwd,8,automatic,gas
toyota,camry le,fwd,4,automatic,gas
ford,f550,4wd,4,automatic,diesel
mercedes-benz,sprinter,rwd,8,automatic,diesel
chevrolet,silverado 1500,fwd,4,,other
volkswagen,beetle tdi,fwd,8,automatic,diesel
mercedes-benz,c-class,rwd,8,automatic,gas
chevrolet,3500hd double cab duramax,4wd,8,automatic,diesel
ford,f150 lariat,fwd,6,automatic,gas
toyota,tacoma access cab,4wd,6,automatic,other
mazda,tribute,fwd,6,automatic,gas
rover,sport hs,4wd,4,automatic,gas
jeep,grand cherokee,rwd,6,automatic,gas
volkswagen,jetta 1.4t sel,fwd,4,automatic,gas
ford,explorer xlt 4x4 gas suv,4wd,4,automatic,gas
honda,accord,fwd,4,automatic,gas
chevrolet,suburban,4wd,8,automatic,gas
volkswagen,tiguan,fwd,4,automatic,gas
ram,1500 classic regular cab,fwd,8,automatic,gas
ford,explorer,4wd,6,automatic,gas
chevrolet,silverado,4wd,8,automatic,diesel
cadillac,sts4,4wd,6,automatic,gas
ford,crown victoria,rwd,8,automatic,gas
toyota,maserati spyder,rwd,8,automatic,gas
toyota,prius two hatchback 4d,fwd,4,automatic,gas
audi,q5 premium plus sport,4wd,6,automatic,gas
toyota,tundra sr5,rwd,8,automatic,gas
toyota,corolla,fwd,4,automatic,gas
lexus,es es 350 es350,fwd,6,automatic,gas
ford,expedition el limited,rwd,6,automatic,gas
volkswagen,touareg,4wd,6,automatic,gas
honda,civic lx hatchback 4d,4wd,4,automatic,gas
chevrolet,tahoe lt,4wd,8,automatic,gas
volkswagen,golf gti se hatchback,fwd,4,automatic,gas
chrysler,town & country,fwd,6,automatic,gas
ford,f350 lariat,4wd,8,automatic,diesel
chevrolet,silverado 2500 long b,4wd,8,automatic,diesel
chevrolet,k van p6500,rwd,4,automatic,diesel
ram,diesel cummins 2500,4wd,6,automatic,diesel
chevrolet,express 3500 box truck,4wd,8,automatic,gas
lexus,gs,rwd,6,automatic,gas
ford,f150 super cab xl pickup 4d,4wd,6,automatic,other
ford,f-250 4x4 lifted,4wd,8,automatic,diesel
kia,optima,fwd,8,automatic,gas
chevrolet,traverse,fwd,8,automatic,gas
toyota,4runner trd pro sport,4wd,6,automatic,gas
bmw,3 series m340i sedan 4d,rwd,6,automatic,other
bmw,x3 sdrive30i,4wd,6,automatic,gas
honda,insight ex sedan 4d,fwd,8,automatic,hybrid
hyundai,elantra,fwd,8,automatic,gas
chevrolet,elcamino,rwd,8,automatic,gas
ram,1500 outdoorsman 4x4,4wd,4,automatic,gas
nissan,sentra,fwd,4,automatic,gas
jeep,wrangler sport 4x4,4wd,6,manual,gas
honda,civic ex sedan 4d,fwd,4,automatic,gas
mercedes-benz,mercedes-amg,fwd,6,automatic,other
volkswagen,passat,fwd,6,automatic,gas
pontiac,g6,fwd,4,automatic,gas
ford,ranger supercrew xl pickup,4wd,4,automatic,gas
volkswagen,eos sport convertible,fwd,10,automatic,gas
hyundai,sonata plug-in hybrid,fwd,8,manual,hybrid
subaru,legacy,4wd,4,automatic,gas
ford,f-150,4wd,8,automatic,gas
toyota,tacoma,fwd,6,automatic,gas
nissan,leaf,fwd,4,automatic,electric
infiniti,qx60 3.5 sport utility,fwd,6,automatic,other
toyota,highlander limited !,rwd,6,automatic,gas
chevrolet,malibu ls,4wd,4,automatic,gas
bmw,328,4wd,4,automatic,gas
jeep,wrangler unlimited rubicon,4wd,8,automatic,other
toyota,4runner sr5,4wd,6,manual,gas
volkswagen,beetle coupe,fwd,6,automatic,gas
toyota,celsior,rwd,8,automatic,gas
ram,1500 quad cab slt pickup 4d,4wd,8,automatic,gas
kia,sportage sx sport utility 4d,fwd,4,automatic,gas
mercedes-benz,benz e-350,fwd,6,automatic,gas
cadillac,ats sedan,fwd,4,,gas
toyota,venza,rwd,6,automatic,gas
mercedes-benz,benz r350,4wd,6,automatic,gas
chevrolet,corvette 2dr,rwd,8,automatic,gas
chevrolet,bel air,rwd,8,automatic,gas
kia,telluride lx sport utility,rwd,8,automatic,other
ford,f150 xl,rwd,6,automatic,gas
subaru,impreza sport limited,4wd,4,automatic,gas
chevrolet,silverado 3500hd,rwd,8,automatic,gas
gmc,terrain,fwd,6,automatic,gas
ford,f350,fwd,6,automatic,diesel
ford,fiesta se,fwd,4,manual,gas
mercedes-benz,2018,rwd,6,automatic,gas
jeep,wrangler unlimited,4wd,8,automatic,gas
honda,cr-v,4wd,4,automatic,gas
chevrolet,express commercial cutaway,rwd,8,automatic,gas
chevrolet,s10,4wd,4,automatic,gas
chevrolet,silverado 2500 hd crew,fwd,6,automatic,other
fiat,500l,fwd,4,automatic,gas
buick,lucerne cx,fwd,6,automatic,gas
honda,civic ex,fwd,4,automatic,gas
dodge,neon se,fwd,4,automatic,gas
ram,1500,4wd,8,automatic,gas
audi,a6 2.0t premium plus sedan,rwd,8,automatic,other
ford,edge,fwd,8,automatic,gas
chevrolet,silverado 1500 crew,rwd,8,automatic,gas
ram,1500 express,4wd,6,automatic,gas
lexus,rx 350 awd 5-speed automatic,4wd,6,automatic,gas
mercedes-benz,glk 350,4wd,6,automatic,gas
honda,odyssey,fwd,6,automatic,gas
ford,f150,fwd,6,automatic,gas
subaru,legacy outback,4wd,4,automatic,gas
acura,mdx sport hybrid sh-awd,4wd,6,automatic,other
mercedes-benz,ml-350,4wd,6,automatic,gas
chevrolet,cruze ls,fwd,4,automatic,gas
chevrolet,tahoe commercial,4wd,8,automatic,gas
subaru,outback 2.5i premium,4wd,4,automatic,gas
ford,taurus,fwd,6,automatic,gas
volkswagen,gti autobahn,4wd,8,manual,gas
ford,five hundred,4wd,6,automatic,gas
lexus,is250 awd,fwd,4,automatic,gas
ram,1500 outdoorsman,4wd,8,automatic,gas
acura,mdx,4wd,8,automatic,gas
ford,excursion,4wd,8,automatic,diesel
kia,optima lx,rwd,4,automatic,gas
toyota,prius,fwd,4,automatic,hybrid
honda,crv ex 4wd,4wd,4,automatic,gas
gmc,envoy xl,4wd,4,automatic,gas
ford,econoline,fwd,4,automatic,gas
bmw,5 series,4wd,8,automatic,gas
bmw,328i,fwd,4,automatic,gas
ford,f150 raptor 6.2l 4x4 crew,4wd,8,automatic,gas
jeep,grand cherokee laredo,4wd,8,automatic,gas
honda,civic si coupe 2d,fwd,8,automatic,other
nissan,Saab 9-3,fwd,4,automatic,gas
chevrolet,express cargo,fwd,8,automatic,gas
volkswagen,cc 3.6 vr6 4motion,rwd,6,automatic,other
kia,soul,fwd,4,automatic,gas
ram,3500 drw laramie,4wd,8,manual,diesel
gmc,sierra,4wd,8,automatic,gas
jeep,military truck,4wd,6,manual,diesel
chevrolet,grand am se,fwd,8,automatic,other
jeep,gladiator rubicon,4wd,6,automatic,gas
