rental_id,listing_id,user_id,rent_date,return_date,status
249756c3,7310979662,2ebe1673,2024-03-16 21:57,2024-05-01 21:57,returned
64300776,7315956331,5a3c44b4,2023-08-29 21:57,2023-09-17 21:57,returned
6ee2d5c7,7306572323,7ca1cbdf,2023-12-22 21:57,2023-12-29 21:57,returned
02e40720,7316749073,d4ee95f1,2024-03-17 21:57,2024-05-06 21:57,returned
55acffd2,7306578853,c59e0a16,2024-06-28 21:57,,renting
ec3b9b7c,7314767903,ae615eeb,2023-12-18 21:57,2024-02-05 21:57,returned
75778fee,7312567143,c44191ea,2024-05-25 21:57,2024-05-27 21:57,returned
ce6291de,7316795063,e529cff0,2024-02-25 21:57,2024-04-09 21:57,returned
28a01ac7,7307253889,6148a4d2,2023-07-13 21:57,2023-07-14 21:57,returned
63d6fd5d,7313052141,03be2e6f,2023-11-06 21:57,2023-12-08 21:57,returned
689d970f,7314286698,0454bb5b,2024-04-14 21:57,2024-04-22 21:57,returned
7a17a4ec,7311324561,8d42cf89,2024-07-05 21:57,,renting
ec3f0818,7311444498,54249478,2023-11-12 21:57,2023-12-04 21:57,returned
dceb06d4,7313445151,28de9943,2024-03-14 21:57,2024-04-12 21:57,returned
c6eeb90c,7313849839,f12088e7,2023-10-05 21:57,2023-11-11 21:57,returned
0723d6da,7305192428,f17e46bc,2023-07-08 21:57,2023-07-20 21:57,returned
ddb01ab3,7310599961,ffdbac43,2023-08-11 21:57,2023-08-15 21:57,returned
93d7c0f4,7316327085,1c32dea3,2024-06-05 21:57,2024-06-24 21:57,returned
44bdbf92,7304952953,4121e0b7,2024-04-21 21:57,2024-04-22 21:57,returned
ae56b8a2,7305848296,a1ff36cb,2023-07-22 21:57,2023-08-06 21:57,returned
dabe3d7a,7312766101,0fa7fa5f,2024-06-30 21:57,,renting
6afa258b,7316520053,3aba5b6e,2024-01-18 21:57,2024-02-10 21:57,returned
46989b8c,7316821456,8b0e93e1,2024-02-21 21:57,2024-04-09 21:57,returned
3302500f,7316371621,7a3016fe,2023-11-06 21:57,2023-12-22 21:57,returned
52f81a68,7312946302,e1b84538,2023-07-26 21:57,2023-08-29 21:57,returned
7f95dd07,7314748973,b9bda5e6,2023-10-26 21:57,2023-11-21 21:57,returned
a9d7ca54,7309210081,3612be08,2024-02-16 21:57,2024-03-20 21:57,returned
9ef6ded5,7316237054,8e6a0f9b,2023-08-08 21:57,2023-08-30 21:57,returned
6fd532e2,7309355600,360965fa,2023-11-19 21:57,2023-11-29 21:57,returned
17624d55,7314511985,0ab38a9f,2023-07-09 21:57,2023-08-03 21:57,returned
672c4806,7311422333,6248f5c5,2024-04-03 21:57,2024-05-18 21:57,returned
a71c793f,7304863302,bbc9bc16,2023-12-10 21:57,2024-01-13 21:57,returned
cd98ae1b,7315805333,af12e2fc,2023-09-05 21:57,2023-09-20 21:57,returned
80b062e9,7316628280,da812463,2024-04-30 21:57,2024-05-05 21:57,returned
a8e3166e,7314925937,501b067a,2024-03-17 21:57,2024-04-16 21:57,returned
092839db,7313329129,2b63e201,2024-04-07 21:57,2024-05-11 21:57,returned
c8a4b5c8,7312566231,f4034568,2023-10-12 21:57,2023-11-30 21:57,returned
e5a5ce7c,7313661202,6d21c32c,2024-03-02 21:57,2024-03-31 21:57,returned
db068cc4,7314975821,b45279ee,2024-02-10 21:57,2024-02-21 21:57,returned
575e8373,7310955160,4158b70c,2023-11-26 21:57,2024-01-06 21:57,returned
676fa6fc,7316281886,96cb5dd0,2023-12-22 21:57,2023-12-25 21:57,returned
d4772afd,7307973567,2d845890,2024-01-30 21:57,2024-02-16 21:57,returned
b133bcc8,7309125809,0160c4ea,2024-01-06 21:57,2024-02-04 21:57,returned
400dba91,7316825385,ebe448a2,2023-11-21 21:57,2024-01-06 21:57,returned
9893669b,7311062351,585d4f2b,2023-11-06 21:57,2023-12-14 21:57,returned
fe7c7b20,7304828310,101ad241,2024-03-20 21:57,2024-04-05 21:57,returned
bfcd8cc1,7313128566,40482a4b,2024-03-20 21:57,2024-04-20 21:57,returned
2196411c,7302561623,2d4cb404,2023-08-08 21:57,2023-09-09 21:57,returned
cbb14bbb,7309818787,ccc5627c,2024-02-19 21:57,2024-03-20 21:57,returned
367ddc35,7314446306,e8e63e5c,2024-02-18 21:57,2024-03-02 21:57,returned
d9b864b5,7311894079,72313f77,2023-10-04 21:57,2023-11-01 21:57,returned
86042755,7306946200,d7106955,2023-10-28 21:57,2023-11-21 21:57,returned
003668e5,7316188013,471fb635,2023-09-25 21:57,2023-10-02 21:57,returned
dad51d33,7316949642,0a338eb2,2024-03-22 21:57,2024-04-14 21:57,returned
8d451ba8,7307922277,036093cf,2024-01-05 21:57,2024-01-19 21:57,returned
55102556,7313886036,b80d3d96,2024-06-09 21:57,2024-06-17 21:57,returned
5f8196b3,7313288081,d6841e84,2024-07-06 21:57,,renting
